Index,Highest Charting Position,Number of Times Charted,Week of Highest Charting,Song Name,Streams,Artist,Artist Followers,Song ID,Genre,Release Date,Weeks Charted,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence,Chord
1088,101,4,2020-05-29--2020-06-05,Fútbol & Rumba (feat. Enrique Iglesias),5124116.0,Anuel AA,18306226.0,2hDe0Ls5mVqs1XJqv7sbcM,"['latin', 'reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino']",2020-05-29,"2020-06-19--2020-06-26
2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-29--2020-06-05",67.0,0.735,0.916,-2.082,0.117,0.397,0.0918,167.994,221429.0,0.691,D
1089,131,1,2020-06-19--2020-06-26,Bleed,5095478.0,A Boogie Wit da Hoodie,5865895.0,5XzombolzpiaOSTdj1W0VS,"['melodic rap', 'pop rap', 'rap', 'trap']",2020-06-19,2020-06-19--2020-06-26,61.0,0.698,0.572,-7.735,0.198,0.135,0.154,71.446,176959.0,0.391,D
1090,134,1,2020-06-19--2020-06-26,Snow On Tha Bluff,5060764.0,J. Cole,14103694.0,1oOEkBNp4zWnkD7nWjJdog,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",2020-06-16,2020-06-19--2020-06-26,66.0,0.586,0.512,-8.819,0.0668,0.723,0.119,75.857,235480.0,0.235,G#/Ab
1091,113,2,2020-06-12--2020-06-19,Djomb - Bien ou quoi,4924714.0,Bosh,300500.0,0KBwGCY9RYD9t2zjeW4h48,"['francoton', 'french hip hop', 'pop urbaine', 'rap francais']",2020-05-29,"2020-06-19--2020-06-26
2020-06-12--2020-06-19",64.0,0.945,0.676,-6.6,0.207,0.172,0.322,123.109,141893.0,0.631,C#/Db
1092,84,15,2020-04-03--2020-04-10,In Your Eyes (feat. Alida),4654587.0,"Alida, Robin Schulz",2786366.0,61ZM92T2zaXIVsqncThQzC,"['dance pop', 'deep euro house', 'deep house', 'edm', 'german dance', 'pop', 'pop dance', 'tropical house']",2020-01-10,"2020-06-19--2020-06-26
2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-29--2020-06-05
2020-05-22--2020-05-29
2020-05-15--2020-05-22
2020-05-08--2020-05-15
2020-05-01--2020-05-08
2020-04-24--2020-05-01
2020-04-17--2020-04-24
2020-04-10--2020-04-17
2020-04-03--2020-04-10
2020-03-27--2020-04-03
2020-03-20--2020-03-27
2020-03-13--2020-03-20",71.0,0.57,0.672,-5.888,0.0716,0.172,0.0768,120.018,208222.0,0.461,G#/Ab
1093,13,14,2020-02-28--2020-03-06,Stupid Love,4609858.0,Lady Gaga,1251372.0,1zPwSOUc5MPtPg8EgXAGKU,[],2021-08-08,"2020-06-19--2020-06-26
2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-29--2020-06-05
2020-05-22--2020-05-29
2020-04-24--2020-05-01
2020-04-17--2020-04-24
2020-04-10--2020-04-17
2020-04-03--2020-04-10
2020-03-27--2020-04-03
2020-03-20--2020-03-27
2020-03-13--2020-03-20
2020-03-06--2020-03-13
2020-02-28--2020-03-06",0.0,0.68,0.825,-4.296,0.0702,0.00173,0.27,117.987,193533.0,0.784,G#/Ab
1094,93,2,2020-06-12--2020-06-19,Shotta Flow 5,4513982.0,NLE Choppa,3372385.0,1orjH4IkSH9VrWmRCToKV8,['memphis hip hop'],2020-06-12,"2020-06-19--2020-06-26
2020-06-12--2020-06-19",62.0,0.806,0.749,-5.268,0.328,0.0838,0.0621,140.032,145167.0,0.77,C#/Db
1095,145,5,2020-06-05--2020-06-12,IDK You Yet,4473413.0,Alexander 23,207170.0,0j1Ia2lQWrcXrQZI4AdJlk,"['alt z', 'indie cafe pop', 'pop', 'post-teen pop', 'social media pop']",2020-06-23,"2020-06-19--2020-06-26
2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-29--2020-06-05
2020-05-22--2020-05-29",79.0,0.648,0.308,-11.729,0.04,0.886,0.124,76.997,184638.0,0.198,C#/Db
1096,75,25,2019-12-27--2020-01-03,Piece Of Your Heart,4422905.0,"MEDUZA, Goodboys",441714.0,1DFD5Fotzgn6yYXkYsKiGs,"['dance pop', 'edm', 'pop dance', 'pop house', 'tropical house']",2019-02-01,"2020-06-19--2020-06-26
2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-22--2020-05-29
2020-05-15--2020-05-22
2020-05-08--2020-05-15
2020-05-01--2020-05-08
2020-04-24--2020-05-01
2020-04-17--2020-04-24
2020-04-10--2020-04-17
2020-04-03--2020-04-10
2020-03-27--2020-04-03
2020-03-20--2020-03-27
2020-03-13--2020-03-20
2020-03-06--2020-03-13
2020-02-28--2020-03-06
2020-02-21--2020-02-28
2020-02-14--2020-02-21
2020-02-07--2020-02-14
2020-01-31--2020-02-07
2020-01-24--2020-01-31
2020-01-17--2020-01-24
2020-01-10--2020-01-17
2020-01-03--2020-01-10
2019-12-27--2020-01-03",79.0,0.677,0.744,-6.806,0.0295,0.0404,0.074,124.08,152913.0,0.631,A#/Bb
1097,129,4,2020-06-05--2020-06-12,Na Raba Toma Tapão,4396629.0,Niack,352402.0,0AGS6ZRgzobrazmCi6pYMe,['funk carioca'],2020-06-06,"2020-06-19--2020-06-26
2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-29--2020-06-05",61.0,0.962,0.787,1.509,0.0554,0.666,0.176,130.003,165231.0,0.968,D#/Eb
